,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,links
51,60,67,82,86,92,https://www.philstar.com/headlines/2021/02/19/2078894/congress-pass-bill-speeding-procurement-covid-19-vaccines-monday
52,61,68,83,87,93,https://www.philstar.com/headlines/2021/02/19/2078818/global-vaccinations-uneven-unfair-un
53,62,69,84,88,94,https://www.philstar.com/headlines/2021/02/19/2078824/pfizer-vaccines-arriving-march-sinovac-donation-delayed
54,63,70,85,89,95,https://www.philstar.com/headlines/2021/02/18/2078669/lacking-documents-sputnik-v-gets-stuck-philippines-regulatory-limbo
55,64,71,86,90,96,https://www.philstar.com/headlines/2021/02/18/2078527/journalists-must-also-be-prioritized-covid-19-vaccines-go
56,65,72,87,91,97,https://www.philstar.com/cebu-news/2021/02/18/2078564/vaccine-brand-not-issue-city-barangays
57,66,73,88,92,98,https://www.philstar.com/headlines/2021/02/17/2078346/galvez-duterte-were-ready-vaccines
58,67,74,89,93,99,https://www.philstar.com/nation/2021/02/16/2077981/pnp-700-cops-willing-get-vaccinated
59,68,75,90,94,100,https://www.philstar.com/headlines/2021/02/16/2077999/novavax-vaccine-briefing-posts-record-attendance
60,69,76,91,95,101,https://www.philstar.com/headlines/2021/02/16/2078001/bill-allowing-lgus-buy-vaccines-urgent
61,70,77,92,96,102,https://www.philstar.com/headlines/2021/02/16/2078002/robredo-backs-bill-compensating-vaccine-recipients-side-effects
62,71,78,93,97,103,https://www.philstar.com/headlines/2021/02/16/2078004/private-sector-supports-government-covid-19-vaccination-program
63,72,79,94,98,104,https://www.philstar.com/headlines/2021/02/16/2078005/if-theres-public-clamor-duterte-get-publicly-inoculated
64,73,80,95,99,105,https://www.philstar.com/headlines/2021/02/15/2077919/house-panel-approves-tax-exemption-lgu-purchases-covid-19-shots
65,74,81,96,100,106,https://www.philstar.com/nation/2021/02/15/2077737/30-military-camps-okd-vaccination-sites
66,75,82,97,101,107,https://www.philstar.com/nation/2021/02/15/2077738/manila-forms-vaccine-action-center
67,76,83,98,102,108,https://www.philstar.com/nation/2021/02/15/2077745/pnp-cops-secure-vaccines-inoculators
68,77,84,99,103,109,https://www.philstar.com/headlines/2021/02/15/2077825/government-limited-global-supply-hampering-vaccine-deals
69,78,85,100,104,110,https://www.philstar.com/headlines/2021/02/14/2077704/lgus-follow-priority-vaccination-list-retain-tripartite-talks-ulap-president
70,79,86,101,105,111,https://www.philstar.com/nation/2021/02/12/2077093/sc-allots-p19-million-vaccines
71,80,87,102,106,112,https://www.philstar.com/headlines/2021/02/12/2077146/uk-eu-help-philippines-get-covid-19-vaccines
72,81,88,103,107,113,https://www.philstar.com/headlines/2021/02/12/2077149/sinovac-jabs-arrive-february-23-slight-delay-pfizer
73,82,89,104,108,114,https://www.philstar.com/headlines/2021/02/11/2077092/house-panel-oks-bills-let-lgus-buy-covid-19-jabs-directly
74,83,90,105,109,115,https://www.philstar.com/headlines/2021/02/11/2077029/sc-oks-procurement-covid-19-vaccines-more-30k-judiciary-officials-personnel
75,84,91,106,110,116,https://www.philstar.com/headlines/2021/02/11/2077014/600000-covid-19-jabs-sinovac-seen-arrive-feb-23
76,85,92,107,111,117,https://www.philstar.com/headlines/2021/02/11/2076875/russia-awaits-philippines-nod-sputnik-v-vaccine
77,86,93,108,112,118,https://www.philstar.com/headlines/2021/02/11/2076878/all-set-arrival-vaccines
78,87,94,109,113,119,https://www.philstar.com/cebu-news/2021/02/11/2076979/doh-7-notes-minor-glitches-vaccine-simulation-exercise
79,88,95,110,114,120,https://www.philstar.com/headlines/2021/02/10/2076789/filipinos-most-disapproved-govt-pandemic-response-southeast-asia-survey
80,89,96,111,115,121,https://www.philstar.com/headlines/2021/02/10/2076758/february-15-arrival-date-covid-19-vaccines-just-estimate-doh
81,90,97,112,116,122,https://www.philstar.com/headlines/2021/02/10/2076761/vax-sites-ordered-come-list-substitute-covid-19-vaccine-recipients
82,91,98,113,117,123,https://www.philstar.com/headlines/2021/02/10/2076745/authorities-warn-public-vs-buying-unauthorized-covid-19-vaccines
83,92,99,114,118,124,https://www.philstar.com/cebu-news/2021/02/10/2076661/labella-set-appoint-rama-vaccine-czar-cebu-city
84,93,100,115,119,125,https://www.philstar.com/cebu-news/2021/02/10/2076672/doh-7-conducts-simulation-vaccine-logistics-management
85,94,101,116,120,126,https://www.philstar.com/headlines/2021/02/10/2076680/duterte-reds-dont-disrupt-delivery-vaccines
86,95,102,117,121,127,https://www.philstar.com/headlines/2021/02/10/2076681/inclusion-retail-frontliners-vaccine-priority-list-pushed
87,96,103,118,122,128,https://www.philstar.com/headlines/2021/02/09/2076513/duterte-cpp-observe-rules-humanity-dont-hamper-delivery-vaccines
88,97,104,119,123,129,https://www.philstar.com/headlines/2021/02/09/2076503/extra-doses-1st-batch-covid-19-shots-could-go-health-workers-afp-pnp-duque
89,98,105,120,124,130,https://www.philstar.com/headlines/2021/02/09/2076485/astrazenecas-eua-remains-despite-halted-south-africa-rollout-fda
90,99,106,121,125,131,https://www.philstar.com/headlines/2021/02/09/2076474/more-hospitals-metro-manila-other-cities-benefit-1st-batch-covid-19-pfizer-jabs
91,100,107,122,126,132,https://www.philstar.com/headlines/2021/02/09/2076469/cpp-assures-safe-unimpeded-transport-covid-19-vaccines
