,urls
70,https://www.manilatimes.net/2021/02/11/news/latest-stories/house-on-abs-cbn-franchise-wait-until-next-congress/839641/
71,https://www.manilatimes.net/2021/02/11/news/latest-stories/duterte-ph-ready-to-work-constructively-with-eu-despite-vaccine-hostage-claim/839613/
72,https://www.manilatimes.net/2021/02/11/business/at-a-glance-business/covid-19-drags-cic-sales-by-double-digits/839558/
73,https://www.manilatimes.net/2021/02/11/news/headlines/cebu-on-the-brink/839554/
74,https://www.manilatimes.net/2021/02/11/opinion/columnists/covid-19-gets-deadlier-and-tougher-to-stop/839484/
75,https://www.manilatimes.net/2021/02/10/news/latest-stories/manila-provides-monthly-food-subsidies-to-700k-families/838984/
76,https://www.manilatimes.net/2021/02/10/news/latest-stories/who-team-coronavirus-unlikely-to-have-leaked-from-china-lab/838856/
77,https://www.manilatimes.net/2021/02/10/news/national/pasay-city-mayor-contracts-covid-19/838791/
78,https://www.manilatimes.net/2021/02/09/news/latest-stories/time-to-wear-a-better-mask-experts-say/838594/
79,https://www.manilatimes.net/2021/02/09/news/latest-stories/kalinga-gov-tests-positive-for-covid/838592/
80,https://www.manilatimes.net/2021/02/07/business/sunday-business/execs-work-life-balance-vital-amid-covid/837787/
81,https://www.manilatimes.net/2021/02/06/news/latest-stories/pal-offers-to-transport-vaccines-from-europe-us/837739/
82,https://www.manilatimes.net/2021/02/04/news/latest-stories/ph-records-1590-new-covid-19-cases/837158/
83,https://www.manilatimes.net/2021/02/04/news/latest-stories/study-finds-covid-19-vaccine-may-reduce-virus-transmission/836847/
84,https://www.manilatimes.net/2021/02/04/campus-press/awakening-from-the-darkest-of-dreams-thomasian-heroes-who-suffered-from-covid-19/836734/
85,https://www.manilatimes.net/2021/02/03/news/latest-stories/comelec-mulls-shift-from-face-to-face-to-online-campaign-in-2022-polls/836620/
86,https://www.manilatimes.net/2021/02/03/news/latest-stories/4-metro-manila-hospitals-to-receive-pfizer-vaccines-in-feb-galvez/836619/
87,https://www.manilatimes.net/2021/02/02/news/latest-stories/ph-records-1583-new-cases-of-covid-19/836221/
88,https://www.manilatimes.net/2021/02/02/news/latest-stories/who-slams-critics-of-covid-19-origins-probe/835909/
89,https://www.manilatimes.net/2021/02/02/news/latest-stories/just-keep-faith-with-us-duterte-on-corruption-allegations-vs-govt/836184/
90,https://www.manilatimes.net/2021/02/02/news/latest-stories/sws-unemployment-hits-record-high-37-4-in-2020/836182/
91,https://www.manilatimes.net/2021/02/02/business/business-top/goccs-p119-b-dividends-allocated-for-covid-efforts/836135/
92,https://www.manilatimes.net/2021/02/02/sports/gasly-becomes-latest-f1-driver-to-test-positive-for-covid-19/835982/
93,https://www.manilatimes.net/2021/01/31/news/world/mexican-president-hopeful-he-can-beat-covid/835379/
94,https://www.manilatimes.net/2021/01/31/weekly/the-sunday-times/cover-story/virtus-awards-keeps-silver-lining-in-sight-for-hotel-industry/835342/
95,https://www.manilatimes.net/2021/01/31/supplements/toward-a-healthy-2021-and-beyond/835288/
96,https://www.manilatimes.net/2021/01/31/supplements/tips-to-keep-healthy-during-the-pandemic/835287/
97,https://www.manilatimes.net/2021/01/30/public-square/ic-approves-malayan-covid-19-insurance-products/834920/
98,https://www.manilatimes.net/2021/01/29/news/latest-stories/jj-presents-one-dose-shot-vs-covid-19/834916/
99,https://www.manilatimes.net/2021/01/29/sports/sports-top/michael-strahan-tests-positive-for-covid-19/834370/
